No.,book_name,author,publishing-house,date,price,score,url,comment
45,故事新编,鲁迅,人民文学出版社,1973,0.31,9.4,https://book.douban.com/subject/2046909/,冀翼，80后写作者，思考者，公众号：妄想症患者病历本。欢迎订阅。鲁迅《铸剑》内含的生命哲学新时期以来，《铸剑》作为鲁迅的一篇重要作品，长久被评论界所忽视，只有残雪、莫言这样的文学创造者才对它产生了一定的偏爱，并且写过一些感性重于理性的分析文章。也许这恰恰证...
46,霍乱时期的爱情,[哥伦比亚] 加西亚·马尔克斯,南海出版公司,2012,39.5,9.0,https://book.douban.com/subject/10594787/,“一生一世。”合上《霍乱时期的爱情》这本书时，我仿佛看到马尔克斯在角落里偷笑。两年前读完这本书，就觉得有哪里不对。再读一次，彻底感觉被马尔克斯耍了——这本所谓的“爱情的百科全书”，哪里是在写爱情呀。一个叫佛洛伦蒂诺•阿里萨的文艺青年，看上了一个叫费...
47,艺术的故事,[英] 贡布里希 (Sir E.H.Gombrich),广西美术出版社,2008,280.0,9.6,https://book.douban.com/subject/3162991/,在我到今天为止的阅读过程中，有三本书是无论如何都绝不愿意错过的，它们分别是罗素的西方哲学史，曼昆的经济学原理，和贡布里希的艺术的故事。（虽然真的这样一本正经的把这三本没什么联系的书排列在一起让我觉得自己有点傻气）但对一个，算不上聪明，又懒，又缺乏基础知识...
48,万历十五年,[美] 黄仁宇,生活·读书·新知三联书店,1997,18.0,9.0,https://book.douban.com/subject/1041482/,这篇书评可能有关键情节透露严正声明作为读者，在对本书部分内容不出注释而擅自删改提出质疑后，遭受到该书责编徐卫东（豆瓣ID：西丰客人）长达数年时间系统性的骚扰，近日其甚至将包括我在内的其他提出质疑的读者一并挂在其编辑手记中示众。试问：纵然读者意见是错误的，纵然读者断章取义了你「高明的编...
49,朝花夕拾,鲁迅,人民文学出版社,1973,0.25,9.1,https://book.douban.com/subject/1449352/,一、鲁迅是一个什么样的人呢？如果要我来回答：他是我中学时代不怎么喜欢的一个“课文作家”，一个面容冷峻眉毛浓密嘴唇上都是胡子的男人，说话半文不白的的文学家思想家革命家。不喜欢的原因呢？一言难尽啊！我第一次接触鲁迅，大概就是小学时代的那篇课文《我的伯...
50,月亮和六便士,[英] 毛姆,上海译文出版社,2006,15.0,9.0,https://book.douban.com/subject/1858513/,你肯定有这样一个朋友吧：在银行工作，长得一般，业务凑合，有老婆孩子，勤勤恳恳养家糊口，不爱说话，但如果开口说话，说的话也多半无趣无味——总之形象非常白开水，在任何一个社交场合都是角落里不大起眼的人。事实上你肯定有不止一个这样的朋友，事实上你自己没准就是这样...
51,厌女:日本的女性嫌恶,上野千鹤子,上海三联书店,2015,28.0,9.1,https://book.douban.com/subject/25836270/,从小到大，总觉得自己与同龄人有些格格不入。特别是那些过于纤细娇媚的女生，是自卑也好是觉得她们做作也好，与这些女人味十足的女生在一起总觉得不太习惯。每当女生们开始聊过于女生的话题时，比如化妆品，包包，首饰，各种牌子等等，当她们开始互相比较吹捧时，我觉得自己就...
52,秋园,杨本芬,北京联合出版公司,2020,38.0,9.0,https://book.douban.com/subject/34998019/,去年差不多前后脚，我同时签下了《春山》和《秋园》两本书。《春山》写王维，书稿我是一个晚上读完的，之后一遍一遍，回味不已。《秋园》则不然，虽然只读了一章我就决定必须要出这本书，但这本书稿，断断续续好多天才最终读完——命运之重和作者下笔的温婉淡然，让我没有办法...
53,射雕英雄传,金庸,生活·读书·新知三联书店,1999,47.0,9.1,https://book.douban.com/subject/1044547/,（居然真有这套………………貌似我一直以为是盗版……………………不如三联的齐整……………………）所谓男孩子好色而慕少艾，乃是人之天性。有朝一日肌体成熟，荷尔蒙便充溢而出，四处寻人。所以满口道学如尹志平，还是不免年过四十，去草丛去搂定了小龙女。古人说得好...
54,置身事内:中国政府与经济发展,兰小欢,上海人民出版社,2021,65.0,9.1,https://book.douban.com/subject/35546622/,小记《置身事内》四星给我最大的收获是这本书框架完整，微观机制和宏观机制都包括了，在每一章之后，都会推荐扩张阅读。这对我帮助很大，我可以自己挑选喜欢的部分，再去仔细阅读给专业的相关书籍。这是一本很基础的入门科普书，在作者推荐的专业性更强的著作中，很多我都已...
55,追风筝的人,[美] 卡勒德·胡赛尼,上海人民出版社,2006,29.0,8.9,https://book.douban.com/subject/1770782/,我时常幻想自己是来自未来的，这样，有一天我面对未来某一时刻的突然变化，就会更从容，面对陈年往事也会更慷慨。但，我更适合平庸，如寻常人一样琐碎繁杂的生活，对时间的细枝末节斤斤计较。既然无法预知未来，那么人更多的开始依赖回忆，甚至靠那些零星琐碎的回忆支撑往后...
